Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
1273313;Dehra Dūn;Dehra Dun;DED,Degradun,Deharaduna,Dehra,Dehra Dun,Dehra Dūn,Dehradun,Dehradunas,Dehradūnas,Dekhradun,Dekhradune,Deradun,Déhrádún,d'ehradun,de la dui,deharaduna,deheradoun,deladun,deraduna,dhradwn,teratun,Деградун,Дерадун,Дехрадун,Дехрадуне,دهرادون,ڈیرہ دون,देहरादुन,देहरादून,ডেরাদুন,দেরাদুন,ਦੇਹਰਾਦੂਨ,દેહરાદૂન,ଡେରାଡୁନ,தேராதூன்,డెహ్రాడూన్,ದೆಹರಾದೂನ್‌,ഡെറാഡൂൺ,デヘラードゥーン,德拉敦,데라둔;P;PPLA;IN;India;;39;060;304;;522081;;664;Asia/Kolkata;2024-01-07;India;30.32443, 78.03392
1274532;Chaksu;Chaksu;Chaksu,Chatsu,Chāksu,Chātsu,cakasu,cakcu,caksu,chakuseu,chakusu,chksw,qia ke su,Чаксу,چکسو,चक्षु,चाकसू,চাকসু,ચાક્સુ,சாக்சு,చక్సు,ಚಕ್ಸು,チャクス,恰克苏,恰克蘇,차쿠스;P;PPL;IN;India;;24;110;550;;33098;;304;Asia/Kolkata;2024-01-06;India;26.6051, 75.94814
11185376;Hatsingimari;Hatsingimari;;P;PPLA2;IN;India;;03;707;2012;;0;;30;Asia/Kolkata;2024-01-06;India;25.70986, 89.90078
2221530;Tibati;Tibati;Tibati;P;PPL;CM;Cameroon;;10;;;;35673;;871;Africa/Douala;2023-11-29;Cameroon;6.46504, 12.62843
1529401;Karamay;Karamay;Hei-yu-shan,K'o-la-ma-i,K'o-la-ma-i-shih,K'o-na-ma-i,KRY,Karamai,Karamaj,Karamaj khot,Karamajus,Karamay,Karamay-chhi,Karamay-chhī,Kelamayi,Kramaj,karamai shi,karamay,ke la ma yi,ke la ma yi shi,keolamai si,kha ra mey,Карамай,Карамай хот,Карамај,قاراماي شەھىرى,کارامای,คาราเมย์,カラマイ市,克拉玛依,克拉玛依市,克拉瑪依,커라마이 시;P;PPLA2;CN;China;;13;6502;;;261445;;366;Asia/Urumqi;2022-02-01;China;45.58473, 84.88724
1792014;Leiyang;Leiyang;Leiyang,Wang-chiang,Wang-chiang-hsien,Wangjiang,Wangjiang Xian,Wangkiang,Wangkiang-hsien,lei yang,wang jiang,wang jiang xian,望江,望江县,雷阳;P;PPLA3;CN;China;;01;3408;;;0;;15;Asia/Shanghai;2021-09-19;China;30.12043, 116.68292
1811929;Ducheng;Ducheng;Dosing,Ducheng,Ducheng Zhen,Tu-ch'eng,Tu-ch'eng-hsu,Tu-ch’eng,Tu-ch’eng-hsü,Yunan,dou cheng,dou cheng zhen,都城,都城镇;P;PPLA3;CN;China;;30;4453;;;95525;;23;Asia/Shanghai;2021-09-20;China;23.24212, 111.5284
7373656;Jiangxi;Jiangxi;Jiangxi,jiang xi,姜席;P;PPLA4;CN;China;;15;6212;;;27098;;1716;Asia/Shanghai;2021-10-28;China;33.99934, 105.19994
12358864;Huangmen;Huangmen;huang men,黄门;P;PPLA4;CN;China;;15;6205;;;12194;;1505;Asia/Shanghai;2021-11-03;China;34.8448, 106.17696
3688357;Buenos Aires;Buenos Aires;;P;PPL;CO;Colombia;;09;19110;;;2144;;1200;America/Bogota;2018-04-22;Colombia;3.01397, -76.64612
3533753;Yara;Yara;Poblado Yara,Yara;P;PPLA2;CU;Cuba;;09;3305;;;28944;;30;America/Havana;2023-05-19;Cuba;20.27465, -76.95132
2800202;Comblain-Fairon;Comblain-Fairon;Comblain-Fairon;P;PPL;BE;Belgium;;WAL;WLG;61;61024;1738;;121;Europe/Brussels;2020-05-25;Belgium;50.4462, 5.5449
728709;Novo Selo;Novo Selo;Novo Selo,Nowo-Selo,Ново Село;P;PPLA2;BG;Bulgaria;;63;VID30;;;1574;;49;Europe/Sofia;2019-03-01;Bulgaria;44.16214, 22.78376
732491;Cherven Bryag;Cherven Bryag;Cerven-Breg,Cherven brjag,Cherven-Breg,Cherven-Bryeg,Cherveni Bryag,Cherveni-Bjerg,Tcherven Bryag,Tscherwen Breg,Červen-Brěg,Червен бряг;P;PPLA2;BG;Bulgaria;;50;PVN37;;;13000;;116;Europe/Sofia;2019-09-09;Bulgaria;43.27884, 24.08251
3905453;San Julian;San Julian;San Julian;P;PPL;BO;Bolivia;;08;;;;7706;;332;America/La_Paz;2019-04-11;Bolivia;-17.78333, -62.86667
3393838;Nova Olinda do Norte;Nova Olinda do Norte;Boca do Fumaco,Bocca do Fumaco;P;PPL;BR;Brazil;;04;1303106;;;12343;;22;America/Manaus;2014-07-24;Brazil;-3.89174, -59.09542
3397675;Jaguaribe;Jaguaribe;Jaguaribe Mirim,Zhaguaribi,Жагуариби;P;PPL;BR;Brazil;;06;2306900;;;23065;;127;America/Fortaleza;2012-08-03;Brazil;-5.89056, -38.62194
5924041;Clinton;Clinton;;P;PPLA3;CA;Canada;;02;5933;5933028;;0;;974;America/Vancouver;2019-02-28;Canada;51.08309, -121.58597
2763209;Übelbach;UEbelbach;Ibel'bakh,Markt-UEbelbach,Markt-Übelbach,Ubelbach,Ubelbach Markt,Uebelbach,abylbach,yu bo er ba he,Übelbach,Übelbach Markt,Ибельбах,ابیلباچ,于伯尔巴赫;P;PPLA3;AT;Austria;;06;606;60651;;1078;;570;Europe/Vienna;2018-07-28;Austria;47.22534, 15.23615
2774062;Klein-Pöchlarn;Klein-Poechlarn;;P;PPLA3;AT;Austria;;03;315;31516;;991;;209;Europe/Vienna;2018-07-28;Austria;48.21667, 15.21667
